7631,senda@gmail.com,liliana@gmail.com,due persone,prova 1,1741689963605
88938,senda@gmail.com,liliana@gmail.com,prova 2,prova 2,1741689996819
90931,liliana@gmail.com,senda@gmail.com,Re: prova 2,RISPOSTA a una persona,1741690285113
87588,liliana@gmail.com,senda@gmail.com,Re: due persone,RISPOSTA A DUE PERSONE,1741690339579
22584,giulia@gmail.com,senda@gmail.com,prova client aperto,apritiiii,1741691816541
31812,giulia@gmail.com,senda@gmail.com,RIPROVO,PROVO,1741692488004
46945,giulia@gmail.com,senda@gmail.com,OOOO vai???,eddaje,1741692984226
32799,giulia@gmail.com,senda@gmail.com,ennesima,prova,1741693342390
66146,giulia@gmail.com,senda@gmail.com,Re: due persone,OOOOOOOOO finally,1741693693448
62936,giulia@gmail.com,senda@gmail.com,Re: provo a giulia,MA VAAA''''''?????,1741693722955
48734,giulia@gmail.com,senda@gmail.com,Re: due persone,prova della prova della prova della prova,1741693799173
19965,giulia@gmail.com,senda@gmail.com,Re: due persone,BOOOOHHHHH,1741693871885
53408,giulia@gmail.com,senda@gmail.com,non ce la famo,NO,1741695175989
6547,giulia@gmail.com,senda@gmail.com,sedna,seda,1741695484025
6576,giulia@gmail.com,senda@gmail.com,da g a s,gsgsgsgs,1741695821595
7631,senda@gmail.com,giulia@gmail.com,due persone,prova 1,1741689963605
87588,liliana@gmail.com,giulia@gmail.com,Re: due persone,RISPOSTA A DUE PERSONE,1741690339579
57113,senda@gmail.com,giulia@gmail.com,provo a giulia,da senda a giulia,1741692572552
83717,senda@gmail.com,giulia@gmail.com,Fwd: ennesima,prova,1741693666358
53669,senda@gmail.com,giulia@gmail.com,invio peperino,paperino,1741695127818
17961,senda@gmail.com,giulia@gmail.com,notifica,prova,1741695433224
56149,senda@gmail.com,giulia@gmail.com,giiugiu,sususu,1741695525991
87194,senda@gmail.com,giulia@gmail.com,da s a g,sgsgsg,1741695774904
